1-year female reference values for regional blood distribution (% total blood volume)
Fat								9.47
Brain							6.09
Stomach & Esophagus Wall		0.85
Small Intestine Wall			3.20
Colon Wall						1.82
Right Heart Contents			3.47
Left Heart Contents				3.47
Coronary Tissues				1.20
Kidneys							2.04
Liver							14.14
Lungs	
  Pulmonary Gas Exchange Blood	8.37
  Pulmonary Nutrient Blood		1.56
Skeletal Muscle					6.84
Pancreas						0.59
Skeletal Tissues	
    Active Marrow				3.96
    Trabecular Bone				5.75
    Cortical Bone				2.08
    Other Skeletal Tissues		0.71
Skin							2.71
Spleen							1.86
Thyroid							0.04
Lymphatic Nodes					0.20
Testes or Ovaries				0.01
Adrenal Glands					0.11
Urinary Bladder Wall			0.03
All Other Tissues				1.17
Aorta and Large Arteries		4.57
Large Veins						13.71
