Media ID																		H1	    C6	    N7	    O8	    Na11	Mg12	P15	    S16	    Cl17	K19		Ca20	Fe26	I53		Density (g/cm3)
1	Teeth																		2.20	9.50	2.90	42.10	0.00	0.70	13.70	0.00	0.00	0.00	28.90	0.00	0.00	3.000
2	Mineral bone																3.92	15.91	4.28	45.76	0.20	0.20	9.32	0.30	0.01	0.00	20.11	0.00	0.00	1.800
3	Humeri, upper half, spongiosa												9.67	48.72	1.74	32.74	0.12	0.04	2.19	0.16	0.03	0.02	4.56	0.01	0.00	1.127
4	Humeri, lower half, spongiosa												11.04	51.31	1.85	35.26	0.10	0.06	0.13	0.15	0.03	0.02	0.00	0.04	0.00	1.152
5	Ulnae and radii, spongiosa													11.21	55.81	1.41	31.12	0.10	0.04	0.12	0.13	0.02	0.02	0.00	0.02	0.00	1.160
6	Wrists and hand bones, spongiosa											11.44	61.92	0.82	25.48	0.10	0.00	0.10	0.11	0.01	0.01	0.00	0.00	0.00	1.077
7	Clavicles, spongiosa														9.49	35.20	3.10	46.48	0.12	0.13	1.71	0.20	0.06	0.04	3.41	0.07	0.00	1.142
8	Cranium, spongiosa															8.16	31.01	3.18	45.85	0.14	0.12	3.60	0.22	0.05	0.04	7.58	0.04	0.00	1.253
9	Femora upper half, spongiosa												9.36	37.65	2.82	43.36	0.12	0.11	2.06	0.20	0.05	0.03	4.20	0.05	0.00	1.166
10	Femora lower half, spongiosa												9.24	45.51	1.96	34.52	0.13	0.05	2.69	0.17	0.03	0.02	5.65	0.01	0.00	1.202
11	Tibiae, fibulae, and patellae, spongiosa									9.22	45.03	2.01	34.97	0.13	0.06	2.69	0.17	0.03	0.02	5.65	0.01	0.00	1.084
12	Ankles and foot bones, spongiosa											9.34	46.28	1.91	34.10	0.13	0.05	2.57	0.17	0.03	0.02	5.39	0.01	0.00	1.077
13	Mandible, spongiosa															8.40	32.34	3.11	45.35	0.13	0.12	3.29	0.22	0.05	0.04	6.90	0.04	0.00	1.225
14	Pelvis, spongiosa															10.18	40.58	2.73	43.42	0.11	0.11	0.90	0.18	0.05	0.03	1.63	0.06	0.00	1.092
15	Ribs, spongiosa																9.78	36.59	3.03	46.11	0.11	0.13	1.33	0.20	0.05	0.04	2.56	0.07	0.00	1.109
16	Scapulae, spongiosa															9.23	33.97	3.16	46.81	0.12	0.13	2.05	0.21	0.06	0.04	4.16	0.06	0.00	1.243
17	Cervical spine, spongiosa													9.55	35.48	3.09	46.40	0.12	0.13	1.64	0.20	0.06	0.04	3.24	0.07	0.00	1.139
18	Thoracic spine, spongiosa													8.25	31.47	3.16	45.68	0.14	0.12	3.50	0.22	0.05	0.04	7.35	0.04	0.00	1.115
19	Lumbar spine, spongiosa														9.20	37.24	2.82	43.19	0.12	0.11	2.29	0.20	0.05	0.03	4.70	0.05	0.00	1.098
20	Scarum, spongiosa															9.74	38.25	2.85	44.19	0.11	0.12	1.49	0.19	0.05	0.04	2.92	0.06	0.00	1.055
21	Sternum, spongiosa															9.67	36.07	3.06	46.25	0.11	0.13	1.47	0.20	0.06	0.04	2.88	0.07	0.00	1.088
22	Humeri and femora, upper half, medullary cavity								8.66	41.13	2.27	36.97	0.13	0.07	3.37	0.18	0.04	0.03	7.13	0.01	0.00	0.997
23	Humeri and femora, lower half, medullary cavity								9.98	51.07	1.58	31.44	0.12	0.04	1.82	0.15	0.02	0.02	3.75	0.01	0.00	0.990
24	Ulnae and radii, medullary cavity											11.31	58.50	1.15	28.63	0.10	0.02	0.11	0.12	0.02	0.01	0.00	0.01	0.00	0.980
25	Tibiae, fibulae, and patellae, medullary cavity								9.25	45.61	1.96	34.47	0.13	0.05	2.68	0.17	0.03	0.02	5.62	0.01	0.00	0.980
26	Cartilage																	9.61	9.92	2.22	74.40	0.49	0.00	2.16	0.89	0.30	0.00	0.00	0.00	0.00	1.100
27	Skin																		10.01	19.99	4.16	64.94	0.20	0.00	0.10	0.20	0.30	0.10	0.00	0.00	0.00	1.100
28	Blood vessels																10.20	11.00	3.30	74.50	0.10	0.00	0.10	0.20	0.30	0.20	0.00	0.10	0.00	1.060
29	Oral mucosa																	10.20	14.24	3.40	71.06	0.10	0.00	0.20	0.30	0.10	0.40	0.00	0.00	0.00	1.020
30	Liver																		10.27	16.52	2.94	69.12	0.17	0.00	0.17	0.27	0.23	0.27	0.00	0.03	0.00	1.050
31	Pancreas																	10.52	15.78	2.41	70.37	0.18	0.00	0.18	0.12	0.22	0.20	0.00	0.02	0.00	1.020
32	Brain																		10.68	14.36	2.24	71.33	0.20	0.00	0.39	0.20	0.30	0.30	0.00	0.00	0.00	1.040
33	Heart wall																	10.37	13.46	2.96	72.21	0.10	0.00	0.18	0.20	0.22	0.28	0.00	0.02	0.00	1.040
34	Eye lens and bulb															9.60	19.50	5.70	64.60	0.10	0.00	0.10	0.30	0.10	0.00	0.00	0.00	0.00	1.050
35	Kidney tissue																10.27	12.59	3.08	72.99	0.17	0.00	0.17	0.20	0.23	0.20	0.07	0.03	0.00	1.040
36	Stomach wall																10.51	11.39	2.44	74.97	0.10	0.00	0.10	0.12	0.22	0.12	0.00	0.02	0.00	1.030
37	Small intestine wall														10.50	11.38	2.46	74.96	0.10	0.00	0.10	0.12	0.22	0.12	0.00	0.02	0.00	1.030
