15-year male reference values for regional blood distribution (% total blood volume)
Fat								3.90
Brain							1.59
Stomach & Esophagus Wall		0.95
Small Intestine Wall			3.65
Colon Wall						2.14
Right Heart Contents			4.56
Left Heart Contents				4.56
Coronary Tissues				0.85
Kidneys							1.96
Liver							8.76
Lungs	
  Pulmonary Gas Exchange Blood	9.76
  Pulmonary Nutrient Blood		1.85
Skeletal Muscle					14.06
Pancreas						0.57
Skeletal Tissues	
    Active Marrow				4.44
    Trabecular Bone				4.15
    Cortical Bone				1.42
    Other Skeletal Tissues		0.85
Skin							2.19
Spleen							1.46
Thyroid							0.04
Lymphatic Nodes					0.18
Testes or Ovaries				0.02
Adrenal Glands					0.05
Urinary Bladder Wall			0.02
All Other Tissues				1.38
Aorta and Large Arteries		6.16
Large Veins						18.48
