Media ID																		H1	    C6	    N7	    O8	    Na11	Mg12	P15	    S16	    Cl17	K19		Ca20	Fe26	I53		Density (g/cm3)
1	Teeth													                  	2.20	9.50	2.90	42.10	0.00	0.70	13.70	0.00	0.00	0.00	28.90	0.00	0.00	3.000
2	Mineral bone											                  	3.93	15.89	4.28	45.82	0.20	0.20	9.30	0.30	0.01	0.00	20.07	0.00	0.00	1.800
3	Humeri, upper half, spongiosa							                  	9.66	49.14	1.72	32.31	0.12	0.04	2.21	0.15	0.02	0.02	4.59	0.01	0.00	1.127
4	Humeri, lower half, spongiosa							                  	11.06	52.18	1.81	34.42	0.10	0.07	0.14	0.14	0.02	0.02	0.00	0.04	0.00	1.153
5	Ulnae and radii, spongiosa								                  	11.22	56.45	1.39	30.50	0.10	0.04	0.12	0.13	0.02	0.02	0.00	0.02	0.00	1.161
6	Wrists and hand bones, spongiosa						                  	11.44	62.23	0.81	25.19	0.10	0.00	0.10	0.11	0.01	0.01	0.00	0.00	0.00	1.078
7	Clavicles, spongiosa									                  	9.47	36.16	3.09	45.40	0.12	0.13	1.77	0.20	0.04	0.03	3.52	0.06	0.00	1.142
8	Cranium, spongiosa										                  	8.12	31.65	3.17	45.00	0.14	0.13	3.69	0.22	0.05	0.03	7.77	0.04	0.00	1.250
9	Femora upper half, spongiosa							                  	9.34	38.49	2.79	42.41	0.12	0.11	2.12	0.19	0.04	0.03	4.31	0.05	0.00	1.167
10	Femora lower half, spongiosa							                  	9.24	45.95	1.95	34.05	0.13	0.06	2.71	0.17	0.03	0.02	5.70	0.01	0.00	1.202
11	Tibiae, fibulae, and patellae, spongiosa				                  	9.21	45.36	2.00	34.57	0.13	0.06	2.73	0.17	0.03	0.02	5.72	0.01	0.00	1.084
12	Ankles and foot bones, spongiosa						                  	9.34	46.71	1.89	33.64	0.13	0.05	2.59	0.16	0.03	0.02	5.43	0.01	0.00	1.078
13	Mandible, spongiosa										                  	8.36	33.02	3.09	44.48	0.13	0.12	3.38	0.21	0.05	0.03	7.08	0.04	0.00	1.225
14	Pelvis, spongiosa										                  	10.19	41.62	2.71	42.34	0.11	0.12	0.92	0.18	0.04	0.03	1.68	0.06	0.00	1.093
15	Ribs, spongiosa											                  	9.77	37.62	3.02	44.99	0.11	0.13	1.37	0.20	0.04	0.03	2.65	0.07	0.00	1.110
16	Scapulae, spongiosa										                  	9.20	34.87	3.15	45.76	0.12	0.14	2.12	0.21	0.05	0.03	4.29	0.06	0.00	1.244
17	Cervical spine, spongiosa								                  	9.53	36.46	3.07	45.31	0.12	0.13	1.69	0.20	0.04	0.03	3.35	0.06	0.00	1.139
18	Thoracic spine, spongiosa								                  	8.20	32.12	3.14	44.82	0.14	0.13	3.58	0.22	0.05	0.03	7.53	0.04	0.00	1.115
19	Lumbar spine, spongiosa									                  	9.18	38.04	2.80	42.28	0.12	0.11	2.34	0.19	0.04	0.03	4.82	0.04	0.00	1.098
20	Scarum, spongiosa										                  	9.73	39.21	2.83	43.15	0.11	0.12	1.53	0.19	0.04	0.03	3.00	0.06	0.00	1.056
21	Sternum, spongiosa										                  	9.66	37.08	3.04	45.14	0.11	0.13	1.52	0.20	0.04	0.03	2.97	0.07	0.00	1.089
22	Humeri and femora, upper half, medullary cavity			                  	8.65	41.57	2.25	36.47	0.14	0.07	3.40	0.18	0.03	0.02	7.20	0.01	0.00	0.997
23	Humeri and femora, lower half, medullary cavity			                  	9.98	51.48	1.56	31.03	0.12	0.04	1.83	0.15	0.02	0.02	3.78	0.01	0.00	0.990
24	Ulnae and radii, medullary cavity						                  	11.32	58.94	1.14	28.21	0.10	0.02	0.11	0.12	0.01	0.01	0.00	0.01	0.00	0.980
25	Tibiae, fibulae, and patellae, medullary cavity			                  	9.24	45.96	1.95	34.05	0.13	0.06	2.71	0.17	0.03	0.02	5.69	0.01	0.00	0.980
26	Cartilage												                  	9.61	9.93	2.23	74.40	0.49	0.00	2.15	0.88	0.30	0.00	0.00	0.00	0.00	1.100
27	Skin													                  	10.01	19.97	4.16	64.96	0.20	0.00	0.10	0.20	0.30	0.10	0.00	0.00	0.00	1.100
28	Blood vessels											                  	10.20	11.00	3.30	74.50	0.10	0.00	0.10	0.20	0.30	0.20	0.00	0.10	0.00	1.060
29	Oral mucosa												                  	10.20	14.23	3.40	71.08	0.10	0.00	0.20	0.30	0.10	0.40	0.00	0.00	0.00	1.030
30	Liver													                  	10.27	16.14	2.96	69.49	0.17	0.00	0.17	0.27	0.23	0.27	0.00	0.03	0.00	1.050
31	Pancreas												                  	10.50	15.44	2.47	70.66	0.18	0.00	0.18	0.12	0.22	0.20	0.00	0.02	0.00	1.030
32	Brain													                  	10.67	14.31	2.26	71.38	0.19	0.00	0.38	0.20	0.30	0.29	0.00	0.01	0.00	1.040
33	Heart wall												                  	10.36	13.39	2.97	72.28	0.10	0.00	0.18	0.20	0.22	0.28	0.00	0.02	0.00	1.040
34	Eye lens and bulb										                  	9.60	19.50	5.70	64.60	0.10	0.00	0.10	0.30	0.10	0.00	0.00	0.00	0.00	1.050
35	Kidney tissue											                  	10.26	12.37	3.11	73.19	0.16	0.00	0.16	0.20	0.24	0.20	0.06	0.04	0.00	1.040
36	Stomach wall											                  	10.48	11.35	2.53	74.92	0.10	0.00	0.10	0.13	0.23	0.13	0.00	0.03	0.00	1.030
37	Small intestine wall									                  	10.47	11.33	2.57	74.90	0.10	0.00	0.10	0.13	0.23	0.13	0.00	0.03	0.00	1.030
38	Colon wall and rectum									                  	10.46	11.33	2.58	74.89	0.10	0.00	0.10	0.13	0.23	0.13	0.00	0.03	0.00	1.030
39	Spleen													                  	10.25	11.14	3.25	74.32	0.10	0.00	0.19	0.20	0.25	0.25	0.00	0.05	0.00	1.060
40	Thyroid													                  	10.37	11.74	2.56	74.50	0.18	0.00	0.10	0.12	0.22	0.12	0.00	0.02	0.08	1.050
41	Urindary bladder wall									                  	10.49	9.63	2.62	76.06	0.20	0.00	0.20	0.20	0.30	0.30	0.00	0.00	0.00	1.040
42	Testes													                  	10.57	9.97	2.09	76.46	0.19	0.00	0.10	0.20	0.21	0.20	0.00	0.01	0.00	1.050
43	Adrenal glands											                  	10.43	21.99	2.85	63.74	0.10	0.00	0.18	0.28	0.22	0.20	0.00	0.02	0.00	1.030
44	Oesophagus wall											                    10.41	21.16	2.88	64.55	0.10	0.00	0.17	0.27	0.23	0.20	0.00	0.03	0.00	1.030
45	Generic soft tissue (several organs)					                    10.44	22.79	2.82	62.95	0.10	0.00	0.18	0.28	0.22	0.20	0.00	0.02	0.00	1.030
46	Prostate												                  	10.44	22.79	2.82	62.95	0.10	0.00	0.18	0.28	0.22	0.20	0.00	0.02	0.00	1.030
47	Lymphatic nodes											                  	10.48	24.80	2.73	60.99	0.10	0.00	0.19	0.29	0.21	0.20	0.00	0.01	0.00	1.030
48	Breast glandular tissue									                  	11.17	50.41	1.20	36.79	0.10	0.00	0.02	0.12	0.14	0.04	0.00	0.02	0.00	1.020
49	Adipose tissue											                  	11.38	58.84	0.75	28.72	0.10	0.00	0.10	0.10	0.01	0.00	0.00	0.00	0.00	0.940
50	Lungs tissue											                  	10.24	10.81	3.22	74.65	0.14	0.00	0.14	0.24	0.30	0.20	0.00	0.06	0.00	0.359
51	Stomach contents										             		10.00	22.20	2.20	64.40	0.10	0.00	0.20	0.30	0.10	0.40	0.10	0.00	0.00	1.030
52	Small intestine contents								                    10.00	22.20	2.20	64.40	0.10	0.00	0.20	0.30	0.10	0.40	0.10	0.00	0.00	0.426
53	Right colon contents														10.00	22.20	2.20	64.40	0.10	0.00	0.20	0.30	0.10	0.40	0.10	0.00	0.00	1.030
54	Left colon contents															10.00	22.20	2.20	64.40	0.10	0.00	0.20	0.30	0.10	0.40	0.10	0.00	0.00	0.340
55	Sigmoid colon contents														10.00	22.20	2.20	64.40	0.10	0.00	0.20	0.30	0.10	0.40	0.10	0.00	0.00	0.748
56	Urine													                  	10.70	0.30	1.00	87.30	0.40	0.00	0.10	0.00	0.00	0.20	0.00	0.00	0.00	1.010
57	Air inside the body										                  	0.00	0.00	80.00	20.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.001
