Med  Blood ratio
  1  0.000
  2  0.010
  3  0.060
  4  0.025
  5  0.025
  6  0.025
  7  0.059
  8  0.060
  9  0.015
 10  0.025
 11  0.025
 12  0.025
 13  0.064
 14  0.018
 15  0.013
 16  0.068
 17  0.105
 18  0.117
 19  0.098
 20  0.124
 21  0.118
 22  0.014
 23  0.014
 24  0.014
 25  0.014
 26  0.014
 27  0.054
 28  1.000
 29  0.025
 30  0.293
 31  0.205
 32  0.038
 33  0.025
 34  0.144
 35  0.298
 36  0.234
 37  0.260
 38  0.251
 39  0.442
 40  0.145
 41  0.021
 42  0.075
 43  0.189
 44  0.234
 45  0.144
 46  0.144
 47  0.014
 48  0.144
 49  0.018
 50  0.388
 51  0.000
 52  0.000
 53  0.000
