Med   RBM    YBM   Bone
  1  0.000  0.000  0.000
  2  0.000  0.000  1.000
  3  0.185  0.350  0.465
  4  0.000  0.652  0.348
  5  0.000  0.652  0.348
  6  0.000  0.652  0.348
  7  0.178  0.344  0.478
  8  0.164  0.255  0.581
  9  0.268  0.589  0.143
 10  0.000  0.652  0.348
 11  0.000  0.652  0.348
 12  0.000  0.652  0.348
 13  0.208  0.322  0.470
 14  0.354  0.365  0.281
 15  0.559  0.228  0.213
 16  0.260  0.404  0.336
 17  0.482  0.197  0.321
 18  0.574  0.234  0.192
 19  0.424  0.173  0.404
 20  0.634  0.259  0.107
 21  0.588  0.240  0.172
 22  0.000  1.000  0.000
 23  0.000  1.000  0.000
 24  0.000  1.000  0.000
 25  0.000  1.000  0.000
