Med  Density
  1  0.000
  2  0.010
  3  0.054
  4  0.024
  5  0.024
  6  0.024
  7  0.057
  8  0.061
  9  0.053
 10  0.024
 11  0.024
 12  0.024
 13  0.052
 14  0.077
 15  0.090
 16  0.058
 17  0.127
 18  0.119
 19  0.106
 20  0.134
 21  0.131
 22  0.015
 23  0.015
 24  0.015
 25  0.015
 26  0.015
 27  0.051
 28  1.000
 29  0.027
 30  0.311
 31  0.240
 32  0.046
 33  0.027
 34  0.170
 35  0.361
 36  0.295
 37  0.327
 38  0.333
 39  0.523
 40  0.168
 41  0.022
 42  0.064
 43  0.240
 44  0.295
 45  0.170
 46  0.170
 47  0.015
 48  0.170
 49  0.019
 50  0.417
 51  0.000
 52  0.000
 53  0.000
