                                                                                1     6     7     8    11    12    15    16    17    19    20    26    53
      Tissues to be used in the Monte Carlo simulation:                         H     C     N     O    Na    Mg     P     S    Cl     K    Ca    Fe     I
No.                                                                                                            (% by mass)							
1     Teeth                                                                    2.2   9.5   2.9  42.1   0.0   0.7  13.7   0.0   0.0   0.0  28.9   0.0   0.0
2     Mineral bone                                                             3.6  15.9   4.2  44.8   0.3   0.2   9.4   0.3   0.0   0.0  21.3   0.0   0.0
3     Humeri, upper half, spongiosa                                            8.7  36.6   2.5  42.2   0.2   0.1   3.0   0.3   0.1   0.1   6.2   0.0   0.0
4     Humeri, lower half, spongiosa                                            9.6  47.3   1.7  34.1   0.2   0.0   2.2   0.2   0.1   0.0   4.6   0.0   0.0
5     Lower arm bones, spongiosa                                               9.6  47.3   1.7  34.1   0.2   0.0   2.2   0.2   0.1   0.0   4.6   0.0   0.0
6     Hand bones, spongiosa                                                    9.6  47.3   1.7  34.1   0.2   0.0   2.2   0.2   0.1   0.0   4.6   0.0   0.0
7     Clavicles, spongiosa                                                     8.7  36.1   2.5  42.4   0.2   0.1   3.1   0.3   0.1   0.1   6.4   0.0   0.0
8     Cranium, spongiosa                                                       8.1  31.7   2.8  45.1   0.2   0.1   3.7   0.3   0.1   0.1   7.8   0.0   0.0
9     Femora, upper half, spongiosa                                           10.4  49.6   1.8  34.9   0.1   0.0   0.9   0.2   0.1   0.1   1.9   0.0   0.0
10    Femora, lower half, spongiosa                                            9.6  47.3   1.7  34.1   0.2   0.0   2.2   0.2   0.1   0.0   4.6   0.0   0.0
11    Lower leg bones, spongiosa                                               9.6  47.3   1.7  34.1   0.2   0.0   2.2   0.2   0.1   0.0   4.6   0.0   0.0
12    Foot bones, spongiosa                                                    9.6  47.3   1.7  34.1   0.2   0.0   2.2   0.2   0.1   0.0   4.6   0.0   0.0
13    Mandible, spongiosa                                                      8.7  35.7   2.6  42.9   0.2   0.1   3.0   0.3   0.1   0.1   6.3   0.0   0.0
14    Pelvis, spongiosa                                                        9.6  40.6   2.5  41.2   0.1   0.0   1.8   0.2   0.1   0.1   3.8   0.0   0.0
15    Ribs, spongiosa                                                          9.7  38.1   2.8  44.5   0.1   0.0   1.4   0.2   0.2   0.1   2.8   0.1   0.0
16    Scapulae, spongiosa                                                      9.4  40.6   2.4  40.4   0.1   0.0   2.2   0.2   0.1   0.1   4.5   0.0   0.0
17    Cervical spine, spongiosa                                                9.2  35.1   2.9  45.8   0.1   0.0   2.1   0.2   0.2   0.1   4.3   0.0   0.0
18    Thoracic spine, spongiosa                                                9.8  38.6   2.8  44.2   0.1   0.0   1.3   0.2   0.2   0.1   2.6   0.1   0.0
19    Lumbar spine, spongiosa                                                  8.8  32.9   3.0  46.6   0.1   0.1   2.6   0.3   0.1   0.1   5.4   0.0   0.0
20    Sacrum, spongiosa                                                       10.2  41.0   2.7  43.3   0.1   0.0   0.7   0.2   0.2   0.1   1.4   0.1   0.0
21    Sternum, spongiosa                                                       9.9  39.2   2.8  43.9   0.1   0.0   1.2   0.2   0.2   0.1   2.3   0.1   0.0
22    Humeri and femora, upper halves, medullary cavity                       11.5  63.7   0.7  23.8   0.1   0.0   0.0   0.1   0.1   0.0   0.0   0.0   0.0
23    Humeri and femora, lower halves, medullary cavity                       11.5  63.7   0.7  23.8   0.1   0.0   0.0   0.1   0.1   0.0   0.0   0.0   0.0
24    Lower arm bones, medullary cavity                                       11.5  63.7   0.7  23.8   0.1   0.0   0.0   0.1   0.1   0.0   0.0   0.0   0.0
25    Lower leg bones, medullary cavity                                       11.5  63.7   0.7  23.8   0.1   0.0   0.0   0.1   0.1   0.0   0.0   0.0   0.0
26    Cartilage                                                                9.6   9.9   2.2  74.4   0.5   0.0   2.2   0.9   0.3   0.0   0.0   0.0   0.0
27    Skin                                                                    10.0  19.9   4.2  65.0   0.2   0.0   0.1   0.2   0.3   0.1   0.0   0.0   0.0
28    Blood                                                                   10.2  11.0   3.3  74.5   0.1   0.0   0.1   0.2   0.3   0.2   0.0   0.1   0.0
29    Muscle tissue                                                           10.2  14.2   3.4  71.1   0.1   0.0   0.2   0.3   0.1   0.4   0.0   0.0   0.0
30    Liver                                                                   10.2  13.1   3.1  72.4   0.2   0.0   0.2   0.3   0.2   0.3   0.0   0.0   0.0
31    Pancreas                                                                10.5  15.7   2.4  70.5   0.2   0.0   0.2   0.1   0.2   0.2   0.0   0.0   0.0
32    Brain                                                                   10.7  14.4   2.2  71.3   0.2   0.0   0.4   0.2   0.3   0.3   0.0   0.0   0.0
33    Heart                                                                   10.4  13.8   2.9  71.9   0.1   0.0   0.2   0.2   0.2   0.3   0.0   0.0   0.0
34    Eyes                                                                     9.7  18.3   5.4  66.0   0.1   0.0   0.1   0.3   0.1   0.0   0.0   0.0   0.0
35    Kidneys                                                                 10.3  12.5   3.1  73.0   0.2   0.0   0.2   0.2   0.2   0.2   0.1   0.0   0.0
