Organs and tissues of the adult female reference computational phantom			
			
Organ Organ                                          Tissue Density
ID                                                   number	
1     Adrenal, left                                    43    1.030
2     Adrenal, right                                   43    1.030
3     Anterior nasal passage (ET1)                     45    1.030
4     Posterior nasal passage down to larynx (ET2)     45    1.030
5     Oral mucosa, tongue                              29    1.050
6     Oral mucosa, lips and cheeks                     29    1.050
7     Trachea                                          45    1.030
8     Bronchi                                          45    1.030
9     Blood vessels, head                              28    1.060
10    Blood vessels, trunk                             28    1.060
11    Blood vessels, arms                              28    1.060
12    Blood vessels, legs                              28    1.060
13    Humeri, upper half, cortical                      2    1.920
14    Humeri, upper half, spongiosa                     3    1.185
15    Humeri, upper half, medullary cavity             22    0.980
16    Humeri, lower half, cortical                      2    1.920
17    Humeri, lower half, spongiosa                     4    1.117
18    Humeri, lower half, medullary cavity             23    0.980
19    Ulnae and radii, cortical                         2    1.920
20    Ulnae and radii, spongiosa                        5    1.117
21    Ulnae and radii, medullary cavity                24    0.980
22    Wrists and hand bones, cortical                   2    1.920
23    Wrists and hand bones, spongiosa                  6    1.117
24    Clavicles, cortical                               2    1.920
25    Clavicles, spongiosa                              7    1.191
26    Cranium, cortical                                 2    1.920
27    Cranium, spongiosa                                8    1.245
28    Femora, upper half, cortical                      2    1.920
29    Femora, upper half, spongiosa                     9    1.046
30    Femora, upper half, medullary cavity             22    0.980
31    Femora, lower half, cortical                      2    1.920
32    Femora, lower half, spongiosa                    10    1.117
33    Femora, lower half, medullary cavity             23    0.980
34    Tibiae, fibulae and patellae, cortical            2    1.920
35    Tibiae, fibulae and patellae, spongiosa          11    1.117
36    Tibiae, fibulae and patellae, medullary cavity   25    0.980
37    Ankles and foot bones, cortical                   2    1.920
38    Ankles and foot bones, spongiosa                 12    1.117
39    Mandible, cortical                                2    1.920
40    Mandible, spongiosa                              13    1.189
41    Pelvis, cortical                                  2    1.920
42    Pelvis, spongiosa                                14    1.109
43    Ribs, cortical                                    2    1.920
44    Ribs, spongiosa                                  15    1.092
45    Scapulae, cortical                                2    1.920
46    Scapulae, spongiosa                              16    1.128
