Med   RBM    YBM   Bone
  2  0.000  0.000  1.000
  3  0.146  0.234  0.620
  4  0.000  0.600  0.400
  5  0.000  0.600  0.400
  6  0.000  0.600  0.400
  7  0.176  0.341  0.483
  8  0.197  0.306  0.497
  9  0.166  0.419  0.415
 10  0.000  0.600  0.400
 11  0.000  0.600  0.400
 12  0.000  0.600  0.400
 13  0.127  0.197  0.677
 14  0.301  0.311  0.388
 15  0.363  0.148  0.489
 16  0.170  0.265  0.565
 17  0.620  0.253  0.127
 18  0.563  0.229  0.208
 19  0.476  0.194  0.329
 20  0.668  0.272  0.060
 21  0.644  0.263  0.093
 22  0.000  1.000  0.000
 23  0.000  1.000  0.000
 24  0.000  1.000  0.000
 25  0.000  1.000  0.000

